Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1572.8467517254294
FDW14,OUT017,1299.7634927659856
NCN55,OUT010,558.5146358575025
FDQ58,OUT017,2475.7450575104167
FDY38,OUT027,6226.6661628047
FDH56,OUT046,1969.2965526151183
FDL48,OUT018,682.3151316965389
FDC48,OUT027,2212.33160668757
FDN33,OUT045,1668.9071938523412
FDA36,OUT017,3225.7994030550967
FDT44,OUT017,1988.5856408933214
FDQ56,OUT045,1270.9358373448429
NCC54,OUT019,523.5411428417133
FDU11,OUT049,1987.6214007023418
DRL59,OUT013,817.333027090544
FDM24,OUT049,2493.1084004374316
FDI57,OUT045,3201.8638443349673
DRC12,OUT018,2882.816424533229
NCM42,OUT027,3118.3350123553855
FDA46,OUT010,499.9343263674741
FDA31,OUT013,2876.485100241487
NCJ31,OUT035,3964.463286623301
FDG52,OUT046,785.2938260828114
NCL19,OUT019,436.7517987886872
FDS10,OUT035,2885.559097430696
FDX22,OUT010,702.474689267315
NCF19,OUT035,772.041274555771
NCE06,OUT046,2551.6122169345595
DRC27,OUT046,4019.8602767520465
FDE21,OUT035,1940.7439876782942
NCR42,OUT019,-53.39960702753797
FDX51,OUT018,2912.117778902142
NCR06,OUT018,602.9449419588789
FDU31,OUT027,5508.99809686942
FDU59,OUT017,2550.1437927025786
FDR03,OUT027,5722.046287146599
FDS49,OUT027,2212.33160668757
FDD48,OUT010,199.28392733788814
NCF18,OUT017,3175.057789588728
NCD43,OUT027,2620.0382124332777
NCD54,OUT018,1946.4674602097143
FDY19,OUT010,211.82023845222102
NCY54,OUT017,2873.633668884903
NCL19,OUT018,2166.383659010773
FDP23,OUT010,615.3469355238988
FDC26,OUT013,1931.0591079205456
FDR14,OUT010,21.263859985755516
NCS41,OUT035,3225.7994030550967
FDF41,OUT035,4090.63190105789
FDU34,OUT046,2019.950981435245
DRH11,OUT046,827.7341472610005
FDM03,OUT013,1616.1778669554296
FDS31,OUT017,2926.9230639661714
FDJ20,OUT017,2029.9496074287968
FDV44,OUT027,4961.667178657944
FDG02,OUT049,3138.859028655118
FDA09,OUT013,2903.7105421970637
FDT04,OUT013,628.3141411721904
FDL58,OUT019,697.2103016344358
FDE52,OUT045,1480.2351736801315
FDW12,OUT035,2505.9198020360827
FDL51,OUT017,3369.1321378088314
NCY42,OUT027,3556.7114962388728
FDR07,OUT017,1627.5432273168656
FDN40,OUT045,2477.0921466149402
FDB35,OUT027,2434.6944993791144
FDA22,OUT017,2499.939470246073
NCL06,OUT046,4081.6478452843758
FDI35,OUT013,2939.998379008593
NCW42,OUT045,3676.752001223803
NCX06,OUT049,2874.9771341031574
FDC37,OUT027,2539.552874200468
FDZ14,OUT018,1694.8576473026249
DRG49,OUT049,3985.7447102143124
NCG06,OUT045,4149.00919785769
DRC36,OUT045,2966.5854856416913
FDV21,OUT019,197.6723778639664
FDB53,OUT046,2490.344698141981
DRP47,OUT019,580.6952471531622
FDA14,OUT013,2467.4072668571916
DRC24,OUT035,2462.87535489692
FDW21,OUT018,1419.8194813740395
NCH29,OUT046,1628.2594677295733
FDU58,OUT013,3160.145211977576
FDY27,OUT017,2907.007663161274
FDV56,OUT035,1925.31908727565
FDT59,OUT046,3875.585216211451
FDB23,OUT046,3928.9184697393644
FDR49,OUT045,759.5049634414381
FDB03,OUT010,604.8960703090661
FDN39,OUT045,2541.3034367815485
FDX02,OUT027,6113.5306981301455
FDQ16,OUT027,2552.089185314801
FDU35,OUT018,1390.302676246236
NCT29,OUT013,1978.9007611355728
FDZ27,OUT046,772.7575149684785
FDN57,OUT017,2242.9591560958615
FDA03,OUT018,2183.364153024244
FDZ36,OUT045,3281.1647105497013
NCU05,OUT013,1230.4593312245897
FDT39,OUT018,2181.6836724205564
FDK60,OUT017,1656.3708827380083
FDZ25,OUT017,2936.4462011509568
FDG12,OUT046,2004.6018947158127
DRB01,OUT019,555.1242683597479
NCC43,OUT027,6351.609756065509
FDX13,OUT019,577.6800283336302
FDM22,OUT049,846.1638676431494
FDJ03,OUT027,1353.3692774674932
FDU14,OUT018,3497.1651770151584
FDB33,OUT010,451.7770036471891
FDP27,OUT046,3216.0636764825017
FDO38,OUT010,149.67571294150093
FDE28,OUT027,6083.681586983767
FDO27,OUT035,1654.6904021343212
DRL23,OUT027,2605.821420715258
FDS28,OUT046,846.1638676431494
FDX24,OUT013,1441.7226385012405
FDZ02,OUT035,1656.3708827380083
FDL46,OUT045,1940.7439876782942
FDS60,OUT027,4802.355565609364
NCO06,OUT017,536.5734947462113
FDO16,OUT035,1270.9358373448429
FDC60,OUT049,1286.9520911673342
FDA48,OUT018,2968.5331682527685
FDZ36,OUT027,5147.928712480897
FDK27,OUT045,1974.3688491753012
FDW23,OUT018,558.7727769635919
FDM14,OUT018,1648.3950502732323
FDM14,OUT013,1874.270240982426
FDW60,OUT018,2625.8159806849103
FDE21,OUT013,1943.5954190348784
NCM42,OUT035,1883.9551207401746
FDY59,OUT010,138.85540219842233
DRI49,OUT049,1239.1799707913588
FDT28,OUT019,400.9106050250673
FDQ22,OUT018,571.3090880779248
FDR60,OUT049,1240.860451395046
FDC50,OUT019,294.38318192171573
FDV24,OUT013,2467.4072668571916
DRF48,OUT010,568.8298190978858
FDQ47,OUT046,647.3759346309596
DRN36,OUT049,1626.5789871258862
NCY06,OUT035,2006.6984299082044
FDE52,OUT035,1480.2351736801315
NCB54,OUT045,1994.1621187938715
NCF31,OUT035,2477.0921466149402
FDJ08,OUT027,4968.188022470344
NCC07,OUT017,1627.5432273168656
NCD19,OUT027,1523.011577868142
FDL46,OUT049,2001.838192420362
FDM20,OUT045,3834.492759135517
NCI06,OUT010,320.57817016089643
DRM11,OUT035,4153.263837326078
NCH07,OUT018,2241.8679695213714
FDS23,OUT013,1995.3330695467685
FDO49,OUT018,680.6346510928513
FDS35,OUT049,1071.8858598192091
DRK39,OUT045,1258.39952623051
DRI39,OUT049,977.797670099038
FDV04,OUT017,2579.723631942994
NCN14,OUT035,3255.938687545831
FDH08,OUT013,3901.68561170273
FDS20,OUT046,3193.7688739969794
FDV40,OUT049,1253.396762509379
FDZ48,OUT010,142.4950603997686
FDS24,OUT027,2436.374979982802
FDK44,OUT049,2886.8862204119437
FDS48,OUT045,2464.5558355006074
FDK26,OUT010,644.3503000485043
FDD23,OUT045,3234.9455839679968
NCH54,OUT017,2538.3596654075186
NCP14,OUT010,298.0219900302109
FDM60,OUT010,16.765105421196495
FDV24,OUT017,2464.5558355006074
FDH08,OUT018,3254.958152668855
FDS12,OUT027,3307.9144589368825
FDR39,OUT027,4832.494850100099
FDP12,OUT027,1103.9070239214604
DRF60,OUT027,6165.769189289255
FDC09,OUT035,1668.9071938523412
FDF50,OUT018,2827.895344567421
FDG28,OUT035,4089.564515751981
NCE19,OUT017,828.6983874519806
NCM53,OUT010,142.4950603997686
NCN18,OUT049,1897.2076722672155
FDF32,OUT035,3150.2759941136546
FDF11,OUT013,3971.4105384404297
DRI59,OUT049,3899.617115370451
NCG54,OUT035,2873.633668884903
FDM44,OUT046,1640.7957788439062
FDT57,OUT018,3302.543045315483
FDV24,OUT046,2477.808387027648
FDI50,OUT019,634.2920856508354
FDS09,OUT035,858.9752692418008
NCC31,OUT027,4045.173521844523
FDQ07,OUT019,579.6270449873764
FDC22,OUT017,3230.4230970833332
FDZ56,OUT046,2886.8862204119437
FDZ40,OUT019,61.236777725629054
FDS46,OUT027,3235.7455985271135
DRD24,OUT045,2228.742364377841
FDV45,OUT017,3127.992426252079
FDL26,OUT045,2463.208746396084
FDA56,OUT018,1692.0939450071744
FDN27,OUT046,1939.7797474873146
FDM20,OUT049,3998.4117110214684
FDO16,OUT017,1270.9358373448429
