iter	RMSE
0	1561.301028
1	1359.425131
2	1246.914021
3	1177.73871
4	1140.310431
5	1117.845904
6	1103.037376
7	1093.72268
8	1088.991864
9	1085.097626
10	1083.038232
11	1082.537777
12	1081.889937
13	1080.325447
14	1080.309052
15	1079.908315
16	1079.862818
17	1079.772775
18	1079.519321
19	1079.511912
20	1079.45743
21	1079.369077
22	1079.36815
23	1079.204383
24	1078.944058
25	1078.796594
26	1078.771633
27	1078.760592
28	1077.839131
29	1077.547946
30	1076.847681
31	1076.808424
32	1076.793749
33	1076.503097
34	1076.492802
35	1075.98167
36	1074.766208
37	1074.759983
38	1074.479566
39	1073.802814
40	1073.796739
41	1073.738945
42	1073.661828
43	1073.631757
44	1073.559672
45	1073.537283
46	1073.535364
47	1073.492201
48	1073.405654
49	1073.1324
50	1072.802713
51	1072.801943
52	1072.784791
53	1072.508385
54	1072.32235
55	1072.23883
56	1072.213792
57	1072.21376
58	1072.20739
59	1071.899638
60	1071.861939
61	1071.860352
62	1071.496278
63	1071.05117
64	1071.037522
65	1070.847618
66	1070.793825
67	1070.588304
68	1070.579609
69	1070.57855
70	1070.572101
71	1070.514841
72	1070.500886
73	1070.500164
74	1070.487996
75	1070.409065
76	1070.408996
77	1070.011525
78	1069.900777
79	1069.330664
80	1069.280082
81	1069.276887
82	1069.237158
83	1068.961877
84	1068.497182
85	1068.483486
86	1068.471831
87	1068.451139
88	1068.236668
89	1068.198145
90	1068.197876
91	1067.998789
92	1067.996991
93	1067.688197
94	1067.621624
95	1067.62089
96	1067.24663
97	1067.245659
98	1067.239385
99	1066.598182
