iter	Passed	Remaining
0	12	1221
1	19	974
2	33	1076
3	40	977
4	46	892
5	52	826
6	59	788
7	71	818
8	77	785
9	84	758
10	90	731
11	97	715
12	104	696
13	110	679
14	115	656
15	121	639
16	128	628
17	135	616
18	142	605
19	149	598
20	155	585
21	161	573
22	168	563
23	176	559
24	184	552
25	192	548
26	199	539
27	205	528
28	211	518
29	218	509
30	225	501
31	231	492
32	240	488
33	249	485
34	256	476
35	262	467
36	270	460
37	279	455
38	288	451
39	298	447
40	304	438
41	311	429
42	317	420
43	323	411
44	330	403
45	338	397
46	345	389
47	357	387
48	364	379
49	372	372
50	378	363
51	384	354
52	393	349
53	400	340
54	406	332
55	412	324
56	418	315
57	424	307
58	431	299
59	437	291
60	446	285
61	456	279
62	463	272
63	469	264
64	476	256
65	482	248
66	489	241
67	495	232
68	502	225
69	510	218
70	517	211
71	525	204
72	532	196
73	538	189
74	545	181
75	552	174
76	557	166
77	563	159
78	570	151
79	576	144
80	586	137
81	592	130
82	605	124
83	612	116
84	626	110
85	631	102
86	637	95
87	644	87
88	650	80
89	657	73
90	663	65
91	680	59
92	687	51
93	695	44
94	711	37
95	719	29
96	725	22
97	732	14
98	738	7
99	750	0
