Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1684.7164
FDW14,OUT017,1454.3094
NCN55,OUT010,706.9567
FDQ58,OUT017,2484.2444
FDY38,OUT027,6091.6323
FDH56,OUT046,1937.3335
FDL48,OUT018,677.26526
FDC48,OUT027,2222.3535
FDN33,OUT045,1545.0292
FDA36,OUT017,3106.8975
FDT44,OUT017,1912.9382
FDQ56,OUT045,1374.2094
NCC54,OUT019,695.3733
FDU11,OUT049,2012.4807
DRL59,OUT013,796.3612
FDM24,OUT049,2501.376
FDI57,OUT045,3151.421
DRC12,OUT018,2851.0273
NCM42,OUT027,2942.8987
FDA46,OUT010,518.50275
FDA31,OUT013,2921.671
NCJ31,OUT035,3910.803
FDG52,OUT046,772.5611
NCL19,OUT019,339.02606
FDS10,OUT035,2998.2715
FDX22,OUT010,590.71466
NCF19,OUT035,772.5611
NCE06,OUT046,2658.4167
DRC27,OUT046,3882.4229
FDE21,OUT035,1912.9382
NCR42,OUT019,26.267622
FDX51,OUT018,2851.0273
NCR06,OUT018,595.69275
FDU31,OUT027,5577.411
FDU59,OUT017,2641.2852
FDR03,OUT027,5594.7925
FDS49,OUT027,2222.3535
FDD48,OUT010,334.39713
NCF18,OUT017,3132.402
NCD43,OUT027,2732.812
NCD54,OUT018,1923.3
FDY19,OUT010,334.39713
NCY54,OUT017,2858.5183
NCL19,OUT018,2166.534
FDP23,OUT010,546.20605
FDC26,OUT013,1819.8146
FDR14,OUT010,150.34781
NCS41,OUT035,3146.358
FDF41,OUT035,3736.1729
FDU34,OUT046,2075.827
DRH11,OUT046,897.423
FDM03,OUT013,1684.7164
FDS31,OUT017,3061.424
FDJ20,OUT017,2100.2222
FDV44,OUT027,4979.1895
FDG02,OUT049,3106.8975
FDA09,OUT013,2965.8098
FDT04,OUT013,656.3166
FDL58,OUT019,462.5502
FDE52,OUT045,1503.0608
FDW12,OUT035,2607.6682
FDL51,OUT017,3481.9587
NCY42,OUT027,3503.7488
FDR07,OUT017,1545.0292
FDN40,OUT045,2484.2444
FDB35,OUT027,2460.9614
FDA22,OUT017,2641.2852
NCL06,OUT046,4152.492
FDI35,OUT013,2998.2715
NCW42,OUT045,3703.9075
NCX06,OUT049,2982.9414
FDC37,OUT027,2673.838
FDZ14,OUT018,1686.5322
DRG49,OUT049,3910.803
NCG06,OUT045,4150.624
DRC36,OUT045,2921.671
FDV21,OUT019,329.8339
FDB53,OUT046,2485.3591
DRP47,OUT019,744.1278
FDA14,OUT013,2464.1008
DRC24,OUT035,2484.2444
FDW21,OUT018,1373.9847
NCH29,OUT046,1513.2167
FDU58,OUT013,3132.402
FDY27,OUT017,2952.8005
FDV56,OUT035,1688.1858
FDT59,OUT046,3905.5493
FDB23,OUT046,3646.882
FDR49,OUT045,775.4447
FDB03,OUT010,565.2478
FDN39,OUT045,2704.4377
FDX02,OUT027,5479.8325
FDQ16,OUT027,2732.812
FDU35,OUT018,1373.1892
NCT29,OUT013,2012.4807
FDZ27,OUT046,775.4447
FDN57,OUT017,2074.223
FDA03,OUT018,2117.308
FDZ36,OUT045,3229.7566
NCU05,OUT013,1309.574
FDT39,OUT018,2169.54
FDK60,OUT017,1625.1293
FDZ25,OUT017,2825.1309
FDG12,OUT046,2075.827
