Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1669.5717
FDW14,OUT017,1375.9305
NCN55,OUT010,682.64716
FDQ58,OUT017,2460.4263
FDY38,OUT027,5988.025
FDH56,OUT046,1888.577
FDL48,OUT018,600.81903
FDC48,OUT027,2200.444
FDN33,OUT045,1540.0464
FDA36,OUT017,3136.1628
FDT44,OUT017,1881.0452
FDQ56,OUT045,1369.7817
NCC54,OUT019,673.2503
FDU11,OUT049,2035.0333
DRL59,OUT013,816.2071
FDM24,OUT049,2490.922
FDI57,OUT045,3182.577
DRC12,OUT018,2886.6648
NCM42,OUT027,2887.6345
FDA46,OUT010,411.72922
FDA31,OUT013,2841.3516
NCJ31,OUT035,3892.6538
FDG52,OUT046,817.99646
NCL19,OUT019,388.12857
FDS10,OUT035,2956.1394
FDX22,OUT010,636.5848
NCF19,OUT035,817.64404
NCE06,OUT046,2621.399
DRC27,OUT046,3895.416
FDE21,OUT035,1893.091
NCR42,OUT019,-51.288403
FDX51,OUT018,2888.9521
NCR06,OUT018,489.7744
FDU31,OUT027,5503.6416
FDU59,OUT017,2617.7827
FDR03,OUT027,5538.109
FDS49,OUT027,2175.135
FDD48,OUT010,364.48303
NCF18,OUT017,3133.9485
NCD43,OUT027,2701.7168
NCD54,OUT018,1943.0847
FDY19,OUT010,365.52423
NCY54,OUT017,2856.6597
NCL19,OUT018,2244.4998
FDP23,OUT010,542.25775
FDC26,OUT013,1826.8618
FDR14,OUT010,176.62085
NCS41,OUT035,3156.8696
FDF41,OUT035,3797.6597
FDU34,OUT046,2046.341
DRH11,OUT046,933.13605
FDM03,OUT013,1650.6401
FDS31,OUT017,2968.6592
FDJ20,OUT017,2045.6207
FDV44,OUT027,4986.774
FDG02,OUT049,3142.1606
FDA09,OUT013,2920.0498
FDT04,OUT013,692.43896
FDL58,OUT019,651.09515
FDE52,OUT045,1423.0251
FDW12,OUT035,2480.9258
FDL51,OUT017,3453.1846
NCY42,OUT027,3323.6028
FDR07,OUT017,1538.7914
FDN40,OUT045,2448.773
FDB35,OUT027,2465.612
FDA22,OUT017,2642.6865
NCL06,OUT046,4073.7722
FDI35,OUT013,2947.027
NCW42,OUT045,3703.5256
NCX06,OUT049,2933.348
FDC37,OUT027,2624.8198
FDZ14,OUT018,1814.102
DRG49,OUT049,3911.8718
NCG06,OUT045,4026.8257
DRC36,OUT045,2871.3938
FDV21,OUT019,412.12665
FDB53,OUT046,2455.3977
DRP47,OUT019,490.98602
FDA14,OUT013,2450.93
DRC24,OUT035,2448.773
FDW21,OUT018,1440.9341
NCH29,OUT046,1539.1437
FDU58,OUT013,3126.6482
FDY27,OUT017,2926.5806
FDV56,OUT035,1702.065
FDT59,OUT046,3845.8677
FDB23,OUT046,3688.131
FDR49,OUT045,811.8546
FDB03,OUT010,516.2016
FDN39,OUT045,2629.4175
FDX02,OUT027,5670.159
FDQ16,OUT027,2701.7168
FDU35,OUT018,1394.0697
NCT29,OUT013,2016.1017
FDZ27,OUT046,817.99646
FDN57,OUT017,2095.881
FDA03,OUT018,2248.955
FDZ36,OUT045,3148.6826
NCU05,OUT013,1302.1372
FDT39,OUT018,2241.5557
FDK60,OUT017,1544.9402
FDZ25,OUT017,2732.3691
FDG12,OUT046,2047.05
DRB01,OUT019,531.65845
NCC43,OUT027,6287.647
FDX13,OUT019,760.0692
FDM22,OUT049,900.7287
FDJ03,OUT027,1381.1959
FDU14,OUT018,3830.689
FDB33,OUT010,399.9248
FDP27,OUT046,3142.1606
FDO38,OUT010,259.90744
FDE28,OUT027,6127.433
FDO27,OUT035,1540.0464
DRL23,OUT027,2628.9336
FDS28,OUT046,938.6981
FDX24,OUT013,1485.2266
FDZ02,OUT035,1544.9402
FDL46,OUT045,1908.9392
FDS60,OUT027,4691.2007
NCO06,OUT017,684.85614
FDO16,OUT035,1369.7817
FDC60,OUT049,1375.696
FDA48,OUT018,3229.3972
FDZ36,OUT027,5117.654
FDK27,OUT045,2019.6267
FDW23,OUT018,496.92297
FDM14,OUT018,1576.3356
FDM14,OUT013,1650.6401
FDW60,OUT018,2715.5317
FDE21,OUT013,1876.1755
NCM42,OUT035,1695.9161
FDY59,OUT010,267.73376
DRI49,OUT049,1321.0688
FDT28,OUT019,395.62762
FDQ22,OUT018,486.60342
FDR60,OUT049,1301.4186
FDC50,OUT019,331.9265
FDV24,OUT013,2442.8342
DRF48,OUT010,513.86865
FDQ47,OUT046,694.8163
DRN36,OUT049,1539.1437
NCY06,OUT035,2060.995
FDE52,OUT035,1423.0251
NCB54,OUT045,2062.6658
NCF31,OUT035,2448.773
FDJ08,OUT027,4983.014
NCC07,OUT017,1669.2194
NCD19,OUT027,1707.8607
FDL46,OUT049,1890.9983
FDM20,OUT045,3839.7332
NCI06,OUT010,506.05017
DRM11,OUT035,4079.5186
NCH07,OUT018,2364.581
FDS23,OUT013,2094.1418
FDO49,OUT018,600.81903
FDS35,OUT049,1072.0364
DRK39,OUT045,1351.3938
DRI39,OUT049,932.24005
FDV04,OUT017,2610.1455
NCN14,OUT035,3156.8696
FDH08,OUT013,3880.2356
FDS20,OUT046,3160.653
FDV40,OUT049,1177.9044
FDZ48,OUT010,352.38528
FDS24,OUT027,2402.7112
FDK44,OUT049,2858.676
FDS48,OUT045,2457.6375
FDK26,OUT010,514.01135
FDD23,OUT045,3148.6826
NCH54,OUT017,2619.3826
NCP14,OUT010,302.10587
FDM60,OUT010,-41.22745
FDV24,OUT017,2457.6375
FDH08,OUT018,3524.2866
FDS12,OUT027,3150.3696
FDR39,OUT027,4756.2812
FDP12,OUT027,1104.9916
DRF60,OUT027,5992.144
FDC09,OUT035,1675.3682
FDF50,OUT018,2864.6807
FDG28,OUT035,3912.7932
NCE19,OUT017,932.7836
NCM53,OUT010,311.35507
NCN18,OUT049,1792.4253
